Tipo de pessoa;name;company;cnpj;cpf;web_site;setor_atividade;dt_nascimento;porte;instagram;facebook;linkedin;zip;city ;state;address;email;website;phone;description;nm_contato_01;cargo_01;email_01;telefone_01;ctt_principal_01;observacao_01;linkedin_01;dt_aniversario_01;nm_contato_02;cargo_02;email_02;telefone_02;ctt_principal_02;observacao_02;linkedin_02;dt_aniversario_02
J;;Instituto Paulista De Cancerologia Ltda;69.272.466/0001-42;;"http://www.institutoipc.com.br
http://www.ipconcologia.com.br";Saúde;;Medio;"instagram.com/clinicasainte_marie
instagram.com/ipc_deprofissoes";"facebook.com/ipcdeprofissoes
facebook.com/105370456163715
facebook.com/340216722695984
facebook.com/clinicasaintemarie
facebook.com/113866946922636";linkedin.com/company/66437392;1227200;Sao Paulo;SP;Avenida Angelica,2503- Andar 1;apoio@apoiocontabilidade.com.br;"http://www.institutoipc.com.br
http://www.ipconcologia.com.br";11 3797-3033;MELHOR TELEFONE;"Milene Santucci Alves Da Silva - Administrador
ricardo Cesar Pinto Antunes - Socio Diretor";Decisores;"alessandra@realixcontabilidade.com.br
infra@leforte.com.br
ipc@uol.com.br
liquid_midia@hotmail.com
lourenco1313@hotmail.com
recepcao.alphaville@ipconcologia.com.br
thiago.andrezo@leforte.com.br
ti@grupoipcsaude.com.br
ti@hemomed.com.br
";;;;Ricardo Cesar Pinto Antunes - linkedin.com/in/ricardo-cesar-pinto-antunes-626838b1;;;;;;;;;
J;;Instituto De Olhos Sao Caetano Ltda;69.119.279/0001-23;;http://www.vistamed.com.br;Saúde, Serviços;;Medio;;;"linkedin.com/company/vistamedhospital
linkedin.com/company/vistamed";9540204;Sao Caetano Do Sul;SP;Rua Amazonas,2426- ;administrativo@vistamed.com.br;http://www.vistamed.com.br;11 4229-1522;MELHOR TELEFONE;"Fernando Campos Araujo - Gestor Comercial
jennifer Murtagh - Operations Accountant
lucia Helena Lisboa Melo Fonseca - Socio Administrador
urbano Luiz Fonseca - Socio Administrador";Decisores;"administrativo@vistamed.com.br
contato@riobrancontabil.com.br
luis@ada-sti.com.br
";;;;"Fernando Campos Araujo - linkedin.com/in/fernando-campos-araujo-65355b69
Jennifer Murtagh - linkedin.com/in/jennifer-murtagh-a3b70398";;;;;;;;;
J;;Rw Oftalmologia Ltda;67.634.493/0001-92;;http://www.oftalmocoe.com.br;Saúde, Serviços;;Medio;;;;5455000;Sao Paulo;SP;Avenida Sao Gualter,91- ;financeiro2@oftalmocoe.com.br;http://www.oftalmocoe.com.br;11 3022-5177;MELHOR TELEFONE;"Ariel Silberfeld - Administrador Do Website
remo Susanna Junior - Socio Administrador
walter Yukihiko Takahashi - Socio Administrador";Decisores;;;;;;;;;;;;;;
J;;Imunolaboratorio Triagem De Doadores Ltda;65.714.479/0001-73;;"http://www.imunolabbr.com.br
http://www.centralsorologica.com.br";Saúde;;Medio;;;;1234001;Sao Paulo;SP;Avenida Pacaembu,1261- ;;"http://www.imunolabbr.com.br
http://www.centralsorologica.com.br";11 3662-4050;MELHOR TELEFONE;;Decisores;"cdarsie@imunolabbr.com.br
imunolab@imunolabbr.com.br
imunolab@imunolabbr.com.br
valdelibsp@terra.com.br
";;;;;;;;;;;;;
J;;Instituto De Medicina Digital Dimedi Ltda;54.537.337/0001-61;;"http://www.dimedi.com.br
http://www.villebourbon.com.br
http://www.dimedi.com";Saúde;;Grande;instagram.com/dimedi_medicina_diagnostica;facebook.com/Dimedi.Diagnostica;;3308060;Sao Paulo;SP;Rua Fernandes Pinheiro,97/105- ;rene@dimedi.com.br;"http://www.dimedi.com.br
http://www.villebourbon.com.br
http://www.dimedi.com";11 2227-9622;MELHOR TELEFONE;"Albertina Tondo - Gerente Comercial
ana Beatriz Onofre Chen - Especialista Em Radiologia E Diagnostico Por Imagem, Socio Administrador
chen Mu Hsien - Socio Administrador
everton Lima - Responsavel Tecnico Do Website
mariana Onofre Chen - Socio Administrador
yolanda Leite - Gerente";Decisores;"comercial@dimedi.com.br
rene@dimedi.com.br
";;;;"Albertina Tondo - linkedin.com/in/albertina-tondo-2a986826
Yolanda Leite - linkedin.com/in/yolanda-leite-510235122";;;;;;;;;
J;;Instituto De Cardiologia De Sao Paulo Ltda;53.588.216/0001-86;;http://www.icsp.com.br;Saúde;;Medio;;;linkedin.com/company/instituto-de-cardiologia-de-sao-paulo;4556100;Sao Paulo;SP;Avenida Santo Amaro,2468- 2 And Sala 21;;http://www.icsp.com.br;11 3845-2200;MELHOR TELEFONE;"Alexandre Soares Dos Santos - Ceo, Socio Administrador
francisco Ferreira Ramos Junior - Socio Administrador
paulo Lofrano Malagutti - Administrador Do Website, Responsavel Tecnico Do Website";Decisores;"icsp@icsp.com.br
";;;;Alexandre Soares Dos Santos - linkedin.com/in/alexandre-santos-8420632a;;;;;;;;;
J;;Instituto De Hemoterapia Sirio Libanes Ltda;53.172.417/0001-06;;http://www.ihsl.com.br;Saúde, Serviços;;Medio;instagram.com/hsiriolibanes;facebook.com/HospitalSirioLibanes;linkedin.com/company/hospitalsiriolibanes;1308050;Sao Paulo;SP;Rua Dona Adma Jafet,91- ;;http://www.ihsl.com.br;11 3394-5260;MELHOR TELEFONE;"Ellen Pereira - Supervisora Financeira
renato Gabriel Santos - Administrador Do Website
rita De Cassia Legaspe Fontao Wendel - Socio Administrador
silvano Wendel Neto - Socio Administrador";Decisores;"administrativo@ihsl.com.br
informatica@ihsl.com.br
";;;;Ellen Pereira - linkedin.com/in/ellenpereiraadm;;;;;;;;;
J;;Oxygenix Medicina Hiperbarica Ltda;48.309.308/0001-40;;http://www.oxygenix.com.br;Saúde;;Medio;;;;6472001;Barueri;SP;Avenida Copacabana,112- Sala 1601;contato@oxygenix.com.br;http://www.oxygenix.com.br;11 4552-2663;MELHOR TELEFONE;;Decisores;;;;;;;;;;;;;;
J;;Centro De Oftalmologia Especializada Ltda;47.874.896/0001-00;;http://www.oftalmocoe.com.br;Saúde, Serviços;;Medio;;;;5455000;Sao Paulo;SP;Avenida Sao Gualter,99- ;financeiro2@oftalmocoe.com.br;http://www.oftalmocoe.com.br;11 3022-5177;MELHOR TELEFONE;"Ariel Silberfeld - Administrador Do Website
remo Susanna Junior - Socio Administrador
walter Yukihiko Takahashi - Socio Administrador";Decisores;"helena.barbato@abgalha.com.br
mdias@projesi.com.br
rh@oftalmocoe.com.br
";;;;;;;;;;;;;
J;;Miranda  Wiermann Diagnostico Por Imagem Ltda;43.310.218/0001-55;;http://www.wmdiagnosticos.com.br;Saúde;;Medio;instagram.com/wmdiagnosticos;facebook.com/wmdiagnosticos;;9015200;Santo Andre;SP;Rua Campos Sales,629- ;rafael@wmdiagnosticos.com.br;http://www.wmdiagnosticos.com.br;11 4223-4040;MELHOR TELEFONE;"Cristiane Gabriel - Gerente De Recursos Humanos
joao Miranda Filho - Socio Administrador
paulo Wiermann - Socio Administrador
rafael Wiermann - Administrador Do Website";Decisores;"dp@wmdiagnosticos.com.br
manutencao@wmdiagnosticos.com.br
sac@wmdiagnosticos.com.br
";;;;Cristiane Gabriel - linkedin.com/in/cris-gabriel-rh;;;;;;;;;
